,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,8,12,2,33,6,29,61,36,79,59,19,27,50,26,19,16,235,2,19,14,23,32,2,32,46,15,87,64,134,131,130,69,49,183,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA,3.0,33.0,33.0,331.0,3313.0,15.0,1510.0,-1.0,-1.0,17,9,2,26,6,49,37,17,41,55,60,23,44,99,59,30,166,195,2,12,7,1,8,9,47,16,39,8,94,32,130,151,90,37,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,8,7,8,27,7,31,55,35,15,56,21,96,56,16,10,8,0,3,14,20,20,23,46,23,20,67,78,24,82,109,149,162,109,164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,18,2,3,25,32,2,2,36,79,62,42,34,115,147,70,56,206,204,0,6,10,9,13,53,12,67,55,0,98,104,134,173,112,163,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,5,8,29,24,10,1,39,77,72,36,111,119,136,179,129,89,210,9,1,17,4,41,12,48,66,35,4,47,16,136,111,169,201,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,1,4,4,12,47,27,7,2,75,74,117,77,37,141,172,132,201,3,16,3,29,38,41,69,25,64,67,95,33,144,138,157,104,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,2,4,1,34,14,44,24,4,60,10,78,38,10,50,94,162,122,7,14,13,18,33,8,52,60,29,5,79,17,87,26,144,91,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,5,8,29,24,24,39,66,62,7,79,39,100,60,20,174,198,156,1,17,9,19,42,11,35,56,25,83,29,80,21,127,129,162,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,9,0,2,33,5,32,58,68,48,28,35,32,112,110,170,176,169,2,12,7,1,8,9,10,79,48,80,26,83,24,69,178,92,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,2,5,15,7,29,21,5,19,46,44,11,16,24,139,172,132,92,99,0,12,22,22,10,32,36,31,63,32,44,125,74,42,88,46,104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1
ACT,6.0,67.0,52.0,525.0,5259.0,-1.0,-1.0,-1.0,-1.0,-1,0,1,27,7,39,3,54,32,12,1,71,71,115,6,0,5,2,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,5,8,29,24,10,1,39,75,81,15,5,58,59,36,31,59,86,2,15,15,25,6,20,46,68,37,6,111,99,139,78,17,100,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,8,12,5,20,11,53,42,22,2,0,89,99,100,173,133,93,53,4,19,14,31,32,37,6,1,27,89,108,59,92,174,197,122,143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,7,7,17,28,14,1,23,48,54,64,89,72,4,140,129,89,49,9,2,12,7,5,31,0,47,16,39,8,94,32,130,167,8,97,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,2,5,8,29,15,13,36,16,45,25,5,114,130,107,78,180,171,131,7,5,13,18,33,21,41,10,58,52,17,63,81,20,10,3,158,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,3,1,13,11,37,17,6,0,17,11,90,70,30,119,18,15,15,230,7,14,13,18,25,8,52,60,29,5,79,17,87,26,136,189,126,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,5,8,29,24,10,1,39,75,81,15,5,58,59,36,31,59,86,3,16,20,7,20,5,17,51,20,45,118,56,44,39,106,53,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
