,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,7,0,18,16,27,40,65,61,50,55,80,79,92,162,187,124,184,1,17,15,26,28,44,10,53,31,10,105,139,147,99,66,25,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,0,6,10,33,21,42,3,13,70,85,23,95,28,4,8,4,0,4,6,23,27,37,59,55,30,8,19,94,52,10,59,71,95,228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,8,12,3,35,13,55,0,30,87,96,34,18,6,171,172,115,232,2,10,22,34,22,53,62,37,89,68,97,89,140,92,59,18,39,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,5,9,23,20,1,32,33,39,68,36,43,4,91,17,34,123,193,8,0,13,19,12,43,52,68,78,57,70,28,151,103,70,29,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,8,0,16,14,44,46,67,56,26,79,17,28,102,30,15,22,154,0,5,8,4,20,13,0,50,13,88,5,102,61,147,166,113,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,3,14,26,17,26,11,27,2,38,6,5,5,10,1,4,150,81,5,6,17,20,27,4,22,55,16,73,31,92,86,126,159,93,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,8,3,11,23,42,25,42,18,4,77,62,126,139,95,188,200,127,1,15,27,16,9,5,53,66,55,92,64,21,38,29,95,64,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,72,94,9,17,15,15,28,44,27,2,20,74,32,108,66,123,90,195,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,8,3,11,23,42,25,42,8,51,3,70,46,43,152,125,206,167,3,2,9,28,7,39,5,67,72,67,96,71,19,47,27,37,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,0,205,7,12,20,39,16,42,48,23,1,37,3,33,50,2,161,88,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,0,205,1,17,15,26,30,7,41,74,52,31,28,105,62,151,118,77,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,5,9,23,7,4,2,47,15,89,74,64,11,13,26,183,134,230,3,2,9,18,39,16,13,15,55,93,51,9,60,168,64,196,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,7,3,11,3,4,34,10,35,23,61,34,68,32,63,125,139,125,166,7,11,5,7,2,45,28,46,24,3,82,40,65,17,115,197,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,25,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,0,205,4,14,23,17,37,59,24,30,8,19,94,52,10,59,71,95,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,3,4,13,24,29,47,52,32,19,34,87,25,60,26,167,29,40,145,5,3,6,24,37,59,55,33,11,62,104,5,112,154,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,4,4,10,18,28,33,19,72,9,3,70,1,78,157,137,74,5,2,10,22,35,11,31,9,77,59,38,44,110,68,20,143,8,220,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,0,12,13,32,8,8,34,44,14,54,100,54,106,34,120,8,75,1,9,7,11,13,17,36,65,39,22,91,49,130,36,46,66,55,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,18,29,1,23,30,63,29,60,28,12,50,141,178,163,100,168,8,8,28,0,4,40,23,11,86,65,88,73,4,175,156,115,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,6,18,29,1,23,30,63,29,60,28,12,50,141,178,163,100,168,8,8,28,21,4,40,23,11,86,65,115,73,132,84,11,10,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,6,18,29,1,30,18,26,41,62,81,4,81,14,35,40,49,33,4,14,2,17,29,41,24,34,14,81,39,59,114,139,33,211,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,0,2,28,11,40,38,43,9,37,38,56,57,31,9,14,176,107,2,10,22,34,22,53,62,37,89,68,26,20,107,161,128,87,47,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,7,15,20,15,43,23,48,14,79,78,1,104,70,132,75,12,117,4,3,6,17,37,59,24,30,8,19,94,22,2,110,56,198,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,21,0,0,18,16,27,53,65,31,1,17,44,90,23,43,190,97,212,1,9,7,6,25,2,16,70,48,27,15,135,17,83,173,162,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
AIG,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,830.0,4,7,15,20,15,18,16,49,73,43,11,11,19,75,141,84,21,45,4,13,21,5,19,26,66,41,19,85,43,1,141,93,60,19,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIV,6.0,67.0,53.0,531.0,5311.0,60.0,6010.0,800.0,850.0,26,3,19,15,2,17,13,53,66,36,4,13,100,143,150,93,143,74,8,18,18,0,33,10,31,6,40,75,33,109,108,58,152,111,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,-1.0,-1.0,4,7,15,20,15,18,16,49,73,79,78,1,104,70,132,75,12,117,4,13,21,5,19,47,30,14,66,78,103,61,21,1,51,177,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AJG,6.0,64.0,52.0,524.0,5242.0,40.0,4030.0,800.0,330.0,4,3,14,26,17,26,11,27,2,38,6,5,5,10,1,4,150,81,2,10,12,30,42,19,2,20,56,89,47,87,105,140,107,4,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAM,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,5,0,0,25,35,17,39,46,16,63,38,85,90,164,107,44,174,1,15,27,16,9,5,32,75,53,32,102,60,18,8,1,126,203,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKS,3.0,33.0,33.0,331.0,3311.0,15.0,1510.0,970.0,460.0,11,1,8,21,3,39,7,41,37,7,76,14,58,109,45,89,116,197,5,6,19,3,27,4,22,28,71,87,79,37,57,13,3,150,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
ALB,2.0,28.0,32.0,325.0,3251.0,15.0,1510.0,970.0,167.0,15,3,10,8,27,16,22,58,74,74,42,116,80,95,23,85,218,176,8,12,20,39,16,27,54,29,7,84,63,81,150,102,69,28,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
ALGN,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,0,205,1,15,27,16,9,5,32,75,53,32,102,60,18,8,1,126,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
ALK,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,0,6,10,33,21,42,3,13,70,85,23,95,28,4,8,4,0,8,18,18,19,1,27,58,78,70,49,49,79,146,98,65,24,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,835.0,14,8,10,24,29,47,52,32,19,34,87,25,60,117,118,30,17,115,4,13,21,5,19,26,66,41,19,85,43,1,141,93,60,19,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0
ALLE,3.0,34.0,33.0,332.0,3325.0,20.0,2010.0,-1.0,-1.0,15,8,3,11,23,42,25,42,8,51,18,6,7,100,28,12,0,205,5,4,3,22,38,35,46,21,77,56,14,23,67,64,114,188,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
