,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,2,17,13,37,20,3,6,3,0,6,3,3,3,2,1,3,1,8,16,19,26,0,57,40,17,87,88,95,114,101,68,29,219,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
AA,3.0,33.0,33.0,331.0,3313.0,15.0,1510.0,-1.0,-1.0,17,9,13,6,18,12,43,56,56,47,96,86,134,73,12,135,98,217,4,9,4,33,40,19,2,19,89,94,78,5,154,121,82,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL,4.0,45.0,48.0,481.0,4811.0,20.0,2030.0,600.0,605.0,9,1,15,9,6,5,34,52,27,45,87,40,13,149,88,165,103,38,5,10,3,32,19,40,23,0,8,3,83,12,111,112,73,33,233,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,6,11,18,0,23,47,25,76,35,74,76,126,65,150,179,177,158,9,5,8,27,11,44,13,62,73,57,12,53,9,3,125,187,85,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,7,17,5,37,20,3,6,3,0,6,3,3,3,2,1,3,1,6,14,10,3,10,12,49,26,5,65,104,67,23,117,78,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,-1.0,-1.0,10,8,9,15,12,19,27,15,75,65,37,9,4,5,147,88,26,30,0,4,27,5,30,13,65,42,21,91,24,58,139,100,52,162,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,6,17,7,37,20,3,6,3,0,6,3,3,3,2,1,3,1,5,11,14,1,27,6,19,73,52,36,113,76,32,28,139,133,224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,2,2,13,3,30,9,28,0,71,31,75,95,63,51,60,190,72,3,6,29,17,36,53,36,22,1,38,16,62,158,61,39,94,232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,5,17,8,37,20,3,6,3,0,6,3,3,3,2,1,3,1,4,9,4,38,22,1,29,54,86,78,33,113,69,36,158,12,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,2,3,3,3,13,42,35,35,62,29,1,95,118,57,142,90,61,83,4,9,4,38,22,10,16,54,86,78,33,113,69,36,158,12,221,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
