,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,1,15,6,25,15,4,24,30,64,68,18,135,115,95,185,170,67,4,17,26,17,46,12,63,63,63,63,63,63,63,63,77,203,206,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,0,11,2,11,1,58,2,8,69,80,95,129,133,113,64,102,82,7,12,18,12,22,59,10,12,73,70,70,98,153,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,8,4,5,29,49,30,34,24,12,89,69,49,29,9,14,13,14,4,14,17,26,7,9,22,24,71,12,14,50,152,152,152,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,9,1,21,7,9,2,36,70,60,90,70,122,102,82,62,195,175,9,9,18,18,18,18,18,18,85,85,85,46,46,46,46,85,85,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,2,6,19,39,41,44,22,18,8,3,21,22,8,164,144,124,104,6,6,1,21,21,25,39,52,49,99,114,108,51,27,25,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,2,13,25,15,5,40,18,6,89,78,58,38,18,56,93,183,163,5,11,10,16,31,31,68,68,68,68,68,68,68,89,188,135,177,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,9,1,21,7,0,18,5,12,2,0,8,1,2,1,2,1,191,5,10,8,33,17,47,56,66,86,76,60,35,18,54,108,104,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,9,1,21,7,0,18,5,12,2,0,8,1,2,1,2,1,4,2,3,11,35,35,58,67,67,56,58,47,89,12,144,47,157,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
ACS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,25,9,1,21,7,0,18,5,12,2,0,8,1,2,1,2,1,4,8,1,22,37,39,46,61,5,37,37,38,139,95,137,104,92,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,8,12,15,5,19,50,28,1,39,79,59,47,19,104,84,64,44,6,18,27,27,27,27,64,64,64,41,41,41,41,41,41,140,113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
