,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,9,16,7,14,44,44,44,44,44,44,44,121,121,121,121,121,121,4,9,15,5,49,36,26,69,57,86,78,122,99,74,51,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,3,3,21,1,19,34,40,26,72,24,76,136,108,60,49,49,25,1,13,3,9,22,9,67,54,44,79,9,35,12,10,172,44,129,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,7,9,23,23,21,14,15,66,14,34,36,30,55,129,198,177,108,5,10,29,19,34,21,61,37,61,54,75,69,158,133,110,92,67,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,14,3,3,21,1,1,1,1,1,1,1,1,1,1,168,168,168,168,6,1,25,31,47,10,59,46,77,65,42,60,114,33,120,174,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,0,15,12,24,5,58,62,3,23,49,118,118,114,115,5,160,104,8,18,6,8,24,39,50,73,13,1,101,119,47,41,36,22,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,1,5,3,21,24,2,23,62,3,23,27,134,134,134,134,185,185,1,13,3,9,22,9,11,67,1,63,56,55,89,4,168,150,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,7,9,23,23,21,15,0,49,69,29,30,91,85,165,135,103,82,4,5,15,11,0,56,46,33,23,11,45,81,8,154,176,113,232,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,3,3,21,1,1,1,1,1,1,1,1,132,138,133,78,131,95,6,12,11,1,30,55,57,53,24,66,111,61,38,125,49,188,163,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,25,4,12,9,2,2,21,21,21,21,21,32,43,147,160,160,129,140,0,0,26,20,45,32,22,72,69,57,72,51,28,3,169,194,28,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,3,3,21,1,1,53,32,43,7,7,7,89,130,119,58,76,85,8,18,6,8,40,27,17,15,36,80,95,62,134,109,86,68,43,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ADI,3.0,36.0,33.0,334.0,3344.0,45.0,4530.0,940.0,235.0,13,3,3,21,1,1,1,1,1,1,1,1,1,1,168,168,168,168,8,18,6,8,40,27,17,15,36,80,95,62,134,109,86,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADM,2.0,20.0,31.0,311.0,3112.0,30.0,3020.0,970.0,112.0,7,2,2,25,37,41,41,41,41,41,41,41,41,77,12,84,72,56,0,0,18,30,39,26,34,63,53,81,58,37,14,159,136,118,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
ADP,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,15,3,3,21,28,47,40,18,55,24,95,62,96,102,178,178,178,178,9,19,9,0,36,54,44,31,21,9,93,137,130,105,82,64,39,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,453.0,25,3,3,21,1,1,1,1,1,1,1,1,1,1,168,168,168,168,6,12,25,31,47,10,62,39,63,29,85,64,120,95,72,54,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSK,7.0,73.0,51.0,519.0,5191.0,45.0,4510.0,940.0,185.0,2,3,3,21,1,1,1,1,1,1,1,1,1,1,168,168,168,168,5,10,13,27,16,3,66,44,34,22,8,11,157,168,91,212,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,5.0,51.0,42.0,424.0,4247.0,10.0,1010.0,925.0,355.0,5,2,2,25,0,0,45,43,22,22,22,55,120,120,120,120,124,113,9,2,14,4,9,15,51,38,28,16,107,22,63,38,15,186,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEE,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,5,13,2,3,23,23,2,23,51,62,51,56,159,159,159,159,159,7,1,0,34,35,53,43,30,20,8,92,79,135,162,93,146,121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AEP,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,705.0,5,5,13,2,3,23,23,2,23,51,62,51,56,159,125,125,125,125,9,2,14,4,9,15,64,51,82,88,117,44,21,48,25,175,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,4.0,49.0,22.0,221.0,2211.0,55.0,5510.0,700.0,720.0,5,3,3,21,1,1,1,1,1,1,1,1,71,52,43,43,208,208,9,6,4,21,38,25,63,50,40,28,5,4,18,163,42,209,184,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
AET,6.0,63.0,52.0,524.0,5241.0,35.0,3510.0,905.0,287.0,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,4,21,38,25,63,50,40,28,5,33,10,88,139,149,133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
AFL,6.0,63.0,52.0,524.0,5241.0,40.0,4030.0,800.0,825.0,4,4,8,16,22,48,48,48,48,48,48,48,48,48,48,48,48,48,2,6,28,28,17,4,39,26,39,93,70,49,26,1,102,58,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
AGN,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,283.0,10,3,3,21,1,1,1,1,1,1,1,1,1,1,168,168,168,168,0,0,26,20,45,32,22,72,69,57,72,51,28,3,169,194,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
