,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
A,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,13,3,11,21,34,24,14,4,71,61,51,31,11,22,75,162,81,180,3,3,29,3,3,8,14,14,14,14,14,14,14,14,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
AAP,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,5,4,23,17,39,36,55,14,8,57,16,22,3,166,144,123,103,6,7,7,7,27,27,27,27,50,82,51,31,146,51,136,96,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AAPL,3.0,36.0,33.0,334.0,3342.0,45.0,4520.0,940.0,190.0,2,8,9,13,37,27,15,5,9,4,36,5,17,2,165,143,122,102,3,14,29,24,25,8,31,14,76,5,92,36,131,163,187,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ABC,5.0,51.0,42.0,424.0,4242.0,35.0,3510.0,978.0,217.0,-1,1,15,24,12,21,38,23,18,48,72,37,119,98,76,54,33,225,4,13,4,4,23,50,63,63,63,63,63,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABMD,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,3,7,22,31,4,58,58,5,80,77,40,131,25,149,127,106,86,1,1,8,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABT,3.0,38.0,33.0,334.0,3345.0,35.0,3510.0,905.0,280.0,10,0,13,28,18,32,22,12,2,81,71,51,31,150,128,106,85,65,0,10,10,13,21,23,65,65,65,65,99,138,155,105,138,98,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACAS,6.0,67.0,52.0,523.0,5239.0,40.0,4020.0,800.0,850.0,4,1,15,0,3,47,37,27,17,7,44,113,130,50,28,88,67,47,8,19,19,39,39,39,39,39,39,39,86,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
ACN,8.0,87.0,54.0,541.0,5416.0,45.0,4510.0,976.0,175.0,25,9,6,26,19,13,47,37,27,17,7,74,14,142,0,185,115,213,6,12,27,31,44,44,44,44,44,44,44,120,31,44,44,44,44,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,25,6,10,29,23,10,23,13,68,82,64,36,32,13,11,26,5,115,9,8,18,1,26,58,36,71,71,71,33,126,128,5,71,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1
ADBE,7.0,73.0,51.0,518.0,5182.0,45.0,4510.0,940.0,185.0,2,3,7,22,33,3,51,56,46,36,26,6,1,26,130,105,62,108,3,14,23,5,11,32,32,70,74,74,74,74,74,74,74,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
