tic,gvkey,cusip,conm,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,busdesc
A,126554,00846U101,AGILENT TECHNOLOGIES INC,3520.0,352030.0,35.0,35203010.0,334516.0,3826.0,230.0,940.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide."
AA,27638,013872106,ALCOA CORP,1510.0,151040.0,15.0,15104010.0,3313.0,3330.0,,,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum."
AAL,1045,02376R102,AMERICAN AIRLINES GROUP INC,2030.0,203020.0,20.0,20302010.0,481111.0,4512.0,605.0,600.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. It provides scheduled air transportation services for passengers and cargo. As of December 31, 2019, the company operated a mainline fleet of 942 aircraft."
AAP,145977,00751Y106,ADVANCE AUTO PARTS INC,2550.0,255040.0,25.0,25504050.0,441310.0,5531.0,449.0,976.0,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks."
AAPL,1690,037833100,APPLE INC,4520.0,452020.0,45.0,45202030.0,334220.0,3663.0,190.0,940.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services."
ABBV,16101,00287Y109,ABBVIE INC,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,,,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally."
ABC,31673,03073E105,AMERISOURCEBERGEN CORP,3510.0,351020.0,35.0,35102010.0,424210.0,5122.0,217.0,978.0,AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally.
ABI,182957,78648B109,SAFETY FIRST PRINC PROT DJIA,,,,,,,,,
ABMD,13619,003654100,ABIOMED INC,3510.0,351010.0,35.0,35101010.0,339112.0,3841.0,300.0,905.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients."
ABT,1078,002824100,ABBOTT LABORATORIES,3510.0,351010.0,35.0,35101010.0,334510.0,3845.0,280.0,905.0,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide."
ACAS,65345,02503Y103,AMERICAN CAPITAL LTD,4020.0,402030.0,40.0,40203010.0,523999.0,6797.0,850.0,800.0,"American Capital, Ltd. is a business development company specializing in management and employee buyouts, subordinated debt, leveraged finance, mezzanine, acquisition, recapitalization, middle market, early venture, mature, industry consolidation, and growth capital investments."
ACN,143357,G1151C101,ACCENTURE PLC,4510.0,451020.0,45.0,45102010.0,541611.0,8742.0,175.0,976.0,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company also provides outsourcing services."
ACS,30697,008190100,AFFILIATED COMPUTER SERVICES,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,185.0,940.0,"Conduent Business Services, LLC provides digital platforms and services for Fortune 100 companies and government entities worldwide."
ACT,32820,00768Y545,ADVISORSHARES VICE ETF,,,,,525910.0,6722.0,,,"AdvisorShares Trust - AdvisorShares Vice ETF is an exchange traded fund launched and managed by AdvisorShares Investments, LLC. It invests in public equity markets of the United States."
ADBE,12540,00724F101,ADOBE INC,4510.0,451030.0,45.0,45103010.0,518210.0,7370.0,185.0,940.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content."
ADCT,35649,H0036K147,ADC THERAPEUTICS SA,3520.0,352010.0,35.0,35201010.0,325414.0,2836.0,,,"ADC Therapeutics SA, a clinical-stage oncology-focused biotechnology company, develops antibody drug conjugates (ADC) for patients suffering from hematological malignancies and solid tumors."
ADI,1632,032654105,ANALOG DEVICES,4530.0,453010.0,45.0,45301020.0,334413.0,3674.0,235.0,940.0,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies."
ADM,1722,39483102,ARCHER-DANIELS-MIDLAND CO,3020.0,302020.0,30.0,30202010.0,31122.0,2070.0,112.0,970.0,"Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States and internationally. The company operates through three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition."
ADP,1891,53015103,AUTOMATIC DATA PROCESSING,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,453.0,940.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments, Employer Services and Professional Employer Organization (PEO)."
ADS,143974,018581108,ALLIANCE DATA SYSTEMS CORP,4510.0,451020.0,45.0,45102020.0,518210.0,7374.0,453.0,940.0,"Alliance Data Systems Corporation provides data-driven marketing and loyalty solutions in the United States, Canada, Europe, the Middle East, Africa, the Asia Pacific, and others. It operates through two segments, LoyaltyOne and Card Services."
