,dist,conm,busdesc
BTU,0.0,PEABODY ENERGY CORP,"Peabody Energy Corporation engages in coal mining business. The company operates through Seaborne Thermal Mining, Seaborne Metallurgical Mining, Powder River Basin Mining, Midwestern U.S. Mining, Western U.S. Mining, and Corporate and Other segments."
WYNN,0.0166,WYNN RESORTS LTD,"Wynn Resorts, Limited designs, develops, and operates integrated resorts."
L,0.0209,LOEWS CORP,Loews Corporation provides commercial property and casualty insurance in the United States and internationally.
EQIX,0.0209,EQUINIX INC,"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company, enabling digital leaders to harness a trusted platform to bring together and interconnect the foundational infrastructure that powers their success."
TE,0.0288,TECO ENERGY INC,"TECO Energy, Inc., an electric and gas utility holding company, engages in the regulated electric and gas utility operations."
JOY,0.0297,JOY GLOBAL INC,"Komatsu Mining Corp. manufactures and services mining equipment for the extraction of coal, copper, iron ore, oil sands, gold, and other minerals worldwide. It operates in two segments, Underground Mining Machinery and Surface Mining Equipment."
AEE,0.0298,AMEREN CORP,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. It operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission."
FMC,0.0305,FMC CORP,"FMC Corporation, an agricultural sciences company, provides crop protection, plant health, and professional pest and turf management products."
NDAQ,0.0343,NASDAQ INC,"Nasdaq, Inc. operates as a technology company that serves capital markets and other industries worldwide."
NLSN,0.0344,NIELSEN HOLDINGS PLC,"Nielsen Holdings plc, together with its subsidiaries, operates as a measurement and data analytics company worldwide. It operates in two segments, Connect and Media."
VTRS,0.0354,VIATRIS INC,"Viatris Inc., a healthcare company, manufactures and distributes various medicines for patients in the United States and internationally."
DUK,0.0381,DUKE ENERGY CORP,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through three segments: Electric Utilities and Infrastructure, Gas Utilities and Infrastructure, and Commercial Renewables."
WEC,0.0387,WEC ENERGY GROUP INC,"WEC Energy Group, Inc., through its subsidiaries, provides regulated natural gas and electricity, and nonregulated renewable energy services in the United States."
