,dist,conm,busdesc
BIIB,0.0,BIOGEN INC,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and neurodegenerative diseases worldwide."
GILD,0.4534,GILEAD SCIENCES INC,"Gilead Sciences, Inc., a research-based biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical needs in the United States, Europe, and internationally."
MEDI,0.4595,MEDIMMUNE INC,"MedImmune, LLC researches, develops, and explores medicines for unmet medical needs. It provides medicines in the areas of respiratory, inflammation, and autoimmunity; cardiovascular and metabolic disease; oncology; neuroscience; and infection."
CEPH,0.4703,CEPHALON INC,"Cephalon, Inc. engages in the discovery and development of medicines for central nervous system disorders, pain, and cancer."
VRTX,0.4739,VERTEX PHARMACEUTICALS INC,Vertex Pharmaceuticals Incorporated engages in developing and commercializing therapies for treating cystic fibrosis.
REGN,0.5026,REGENERON PHARMACEUTICALS,"Regeneron Pharmaceuticals, Inc., a biopharmaceutical company, discovers, invents, develops, manufactures, and commercializes medicines for treating various medical conditions worldwide."
GENZ,0.5265,GENZYME CORP,"Genzyme Corporation, a biotechnology company, engages in the discovery and development of products and services primarily in the areas of rare genetic diseases, multiple sclerosis, cardiovascular diseases, and endocrinology."
AMGN,0.5307,AMGEN INC,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology and neuroscience areas."
CELG,0.5382,CELGENE CORP,"Celgene Corporation, a biopharmaceutical company, discovers, develops, and commercializes therapies for the treatment of cancer and inflammatory diseases worldwide."
NKTR,0.7243,NEKTAR THERAPEUTICS,"Nektar Therapeutics, a biopharmaceutical company, researches and develops drug candidates for cancer and auto-immune disease in the United States."
BMET,0.7768,BIOMET INC,"Biomet, Inc. designs, manufactures, and markets surgical and non-surgical products primarily used by orthopedic surgeons and other musculoskeletal medical specialists in the United States, Europe, and internationally."
ROL,0.7941,ROLLINS INC,"Rollins, Inc., through its subsidiaries, provides pest and termite control services to residential and commercial customers."
CTSH,0.8398,COGNIZANT TECH SOLUTIONS,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally."
CERN,0.8834,CERNER CORP,"Cerner Corporation, together with its subsidiaries, provides health care information technology solutions and tech-enabled services in the United States and internationally."
WAT,0.8878,WATERS CORP,"Waters Corporation, a specialty measurement company, provides analytical workflow solutions in Asia, the Americas, and Europe. It operates through two segments, Waters and TA."
